performanceRoleId;compositionRoleId;performanceId;personId
23493708;3582993;3584148;3582451
23493705;3582990;3584148;3584106
23493704;3582989;3584148;3584114
23493697;3582982;3584148;3561880
23493707;3582992;3584148;3582464
23493698;3582983;3584148;3582456
23493706;3582991;3584148;3566447
23493699;3582984;3584148;3582478
23492859;3582987;3584087;3558528
23492861;3582989;3584087;3584114
23492866;3582994;3584087;3559318
23492863;3582991;3584087;3566447
23492854;3582982;3584087;3561880
23492855;3582983;3584087;3582456
23492853;3582981;3584087;3576691
23492858;3582986;3584087;3576378
23492856;3582984;3584087;3582478
23492860;3582988;3584087;3578006
23492857;3582985;3584087;3569216
23492864;3582992;3584087;3582464
23492865;3582993;3584087;3582451
23492867;3582995;3584087;3561877
23492862;3582990;3584087;3584106
